93.52,93.52,93.71,93.71,93.59,94.17,94.17,94.65,94.26,94.65,95.02,95.07,95.30,95.50,95.69,95.54,95.75,96.07,96.07,96.27,96.46,96.48,96.50,97.10,97.24,96.88,97.36,97.41,97.67,97.72,97.73,98.01,98.22,98.12,98.40,98.51,98.51,98.67,99.01,98.74,99.21,98.97,99.21,99.24,99.47,99.55,99.78,99.81,99.92,99.80,100.31,100.21,100.18,100.62,100.74,100.72,100.93,100.92,100.98,100.94,101.31,101.34,101.43,101.64,101.52,101.70,101.94,101.80,102.01,102.09,101.98,102.01,102.34,102.42,102.41,102.45,102.53,102.67,102.87,102.64,103.07,102.86,103.11,103.10,103.09,103.35,103.33,103.41,103.51,103.41,103.47,103.66,103.74,103.70,104.15,103.69,104.01,103.87,104.03,104.12,104.11,104.13,104.39,104.19,104.42,104.35,104.36,104.39,104.46,104.67,104.46,104.68,104.65,104.64,104.70,104.88,104.75,104.84,105.13,104.88,104.90,104.96,105.06,105.03,105.02,105.00,105.02,105.04,105.15,105.28,105.15,105.31,105.23,105.04,105.43,105.12,105.30,105.28,105.38,105.44,105.31,105.30,105.39,105.29,105.38,105.35,105.32,105.35,105.36,105.43,105.38,105.41,105.34,105.38,105.30,105.39,105.48,105.05,105.38,105.37,105.15,105.41,105.20,105.42,105.25,105.49,105.16,105.35,105.50,105.27,105.39,105.50,105.24,105.54,105.23,105.34,105.21,104.89,105.19,105.18,105.13,105.03,104.98,105.01,105.08,104.83,104.81,105.02,104.73,104.96,104.69,104.75,104.63,104.76,104.77,104.76,104.63,104.64,104.59,104.60,104.51,104.38,104.30,104.30,104.31,104.29,104.30,104.24,103.97,104.19,104.02,103.94,103.88,103.78,103.77,103.95,103.70,103.73,103.50,103.61,103.50,103.45,103.28,103.22,103.51,103.19,102.92,102.96,103.18,102.78,102.77,102.76,102.53,102.47,102.46,102.17,102.60,102.18,102.31,102.22,101.98,101.78,101.82,101.69,101.68,101.42,101.40,101.71,101.30,101.29,101.06,100.91,100.90,100.88,100.86,100.74,100.48,100.76,100.31,100.35,100.06,100.10,99.77,99.80,99.70,99.42,99.61,99.37,99.36,98.78,98.95,98.79,98.70,98.65,98.18,98.28,98.42,98.23,97.95,97.96,97.64,97.44,97.51,97.41,96.98,97.02,96.91,96.78,96.66,96.50,96.29,96.21,95.94,96.13,95.77,95.52,95.55,95.08,95.34,95.05,94.79,94.63,94.33,94.26,94.03,94.05,93.84,93.64,93.58,93.11,93.21,92.93,92.68,92.58,92.51,92.37,92.32,91.94,91.94,91.36
93.58,93.66,94.18,94.14,94.40,94.65,94.73,94.79,94.93,95.20,95.28,95.35,95.76,95.73,95.76,96.15,96.10,96.45,96.50,96.54,96.88,97.00,97.09,97.31,97.30,97.30,97.69,97.72,97.79,97.92,98.29,98.42,98.44,98.59,98.65,98.84,99.00,99.12,99.13,99.24,99.42,99.51,99.53,99.70,99.80,99.82,100.09,100.14,100.38,100.41,100.44,100.51,100.78,100.83,100.92,100.94,101.14,101.26,101.35,101.41,101.48,101.67,101.63,101.98,101.97,102.01,102.22,102.10,102.20,102.43,102.42,102.58,102.46,102.52,102.84,102.81,102.70,102.83,103.04,103.10,103.12,103.12,103.30,103.38,103.39,103.54,103.52,103.52,103.87,103.84,103.84,103.81,103.86,104.10,104.00,104.15,104.15,104.17,104.23,104.16,104.48,104.49,104.45,104.54,104.41,104.85,104.89,104.93,104.90,105.05,104.80,104.90,104.73,105.01,105.02,105.10,105.11,105.14,105.16,105.14,105.13,105.13,105.49,105.21,105.43,105.48,105.41,105.51,105.56,105.56,105.49,105.54,105.48,105.50,105.53,105.55,105.53,105.51,105.54,105.54,105.57,105.49,105.50,105.60,105.64,105.60,105.60,105.61,105.71,105.64,105.50,105.70,105.67,105.70,105.89,105.86,105.74,105.76,105.74,105.77,105.45,105.57,105.70,105.56,105.55,105.55,105.53,105.57,105.58,105.42,105.46,105.41,105.55,105.56,105.52,105.46,105.59,105.64,105.63,105.43,105.40,105.57,105.36,105.35,105.26,105.09,105.17,105.24,105.26,105.22,105.29,105.03,105.12,105.18,105.13,105.15,104.80,104.78,105.17,104.74,104.74,104.67,104.69,104.71,104.56,104.58,104.63,104.51,104.64,104.52,104.60,104.35,104.25,104.50,104.26,104.14,104.08,104.11,104.03,104.03,103.78,104.01,103.65,103.65,103.69,103.64,103.57,103.54,103.24,103.22,103.18,103.19,103.15,102.93,102.95,102.80,102.82,102.74,102.70,102.38,102.33,102.27,102.21,102.18,102.17,102.16,101.96,101.76,101.91,101.77,101.67,101.40,101.60,101.31,101.31,100.93,100.82,100.89,100.77,100.75,100.56,100.49,100.30,100.27,100.28,100.10,99.95,99.61,99.45,99.57,99.36,99.34,99.31,99.02,98.81,98.91,98.56,98.67,98.29,98.30,98.26,98.06,97.75,97.75,97.61,97.60,97.33,97.22,97.22,96.86,96.65,96.54,96.38,96.48,96.09,96.00,95.84,95.60,95.41,95.39,95.09,95.10,95.03,94.71,94.66,94.56,94.10,94.13,94.05,93.97,93.59,93.55,93.21,93.03,92.89,92.78,92.59,92.55,92.53,92.06
94.21,94.32,94.67,94.54,94.86,95.04,95.14,95.29,95.47,95.80,95.77,96.00,96.11,96.29,96.36,96.56,96.49,96.95,96.95,97.25,97.31,97.40,97.38,97.69,97.95,97.92,98.27,98.39,98.35,98.36,98.71,98.98,99.05,99.04,99.15,99.18,99.50,99.45,99.56,99.63,99.80,100.10,100.10,100.11,100.24,100.48,100.50,100.58,100.74,100.80,101.11,101.17,101.15,101.16,101.29,101.35,101.54,101.51,101.88,102.02,102.03,102.04,102.05,102.11,102.41,102.41,102.46,102.50,102.65,102.70,102.69,102.88,102.98,103.03,103.16,103.30,103.32,103.25,103.54,103.55,103.55,103.80,103.81,103.89,103.84,103.88,104.03,104.13,104.14,104.23,104.25,104.25,104.25,104.53,104.52,104.60,104.56,104.72,104.68,104.75,104.97,104.86,104.91,105.01,105.07,105.07,105.09,105.08,105.06,105.21,105.21,105.27,105.31,105.32,105.30,105.48,105.52,105.52,105.51,105.54,105.52,105.68,105.65,105.81,105.68,105.59,105.69,105.67,105.65,105.82,105.87,105.88,105.91,105.91,105.95,105.86,105.94,105.92,105.90,105.95,105.88,105.87,106.00,106.02,105.96,106.01,105.95,106.01,106.00,106.06,106.08,105.94,106.10,106.06,106.04,106.07,106.03,105.83,105.93,105.95,105.96,105.90,105.79,105.97,105.93,106.02,106.01,105.68,106.02,105.98,105.94,105.95,105.93,105.88,105.83,105.70,105.86,105.82,105.77,105.67,105.62,105.85,105.84,105.62,105.57,105.64,105.62,105.62,105.54,105.52,105.53,105.28,105.45,105.38,105.43,105.27,105.23,105.22,105.20,105.21,105.07,105.11,105.24,105.01,104.79,104.83,105.07,104.77,104.70,104.67,104.71,104.70,104.73,104.57,104.71,104.52,104.48,104.32,104.30,104.28,104.29,104.29,103.98,104.03,104.01,103.96,103.91,103.73,103.65,103.77,103.68,103.32,103.36,103.35,103.26,103.00,102.87,103.09,103.04,102.90,102.93,102.56,102.53,102.45,102.43,102.41,102.35,102.17,102.17,102.15,102.03,101.92,102.01,101.73,101.66,101.32,101.30,101.31,101.07,101.06,101.03,100.81,100.53,100.50,100.50,100.37,100.17,100.17,100.10,99.71,99.82,99.80,99.65,99.62,99.42,99.38,99.20,98.81,98.76,98.71,98.65,98.31,98.26,98.24,98.01,97.95,97.63,97.36,97.39,97.41,97.30,97.04,96.61,96.73,96.59,96.31,96.47,96.17,96.07,95.88,95.66,95.64,95.30,95.22,95.06,95.15,94.90,94.58,94.51,94.36,94.15,93.95,93.54,93.61,93.50,93.16,93.16,93.14,92.76,92.59
94.73,94.88,95.07,94.92,95.48,95.48,95.52,95.95,96.00,96.00,96.29,96.54,96.49,96.64,96.92,97.06,97.03,97.22,97.33,97.75,97.78,97.80,98.05,98.11,98.40,98.46,98.59,98.81,98.82,98.93,99.22,99.26,99.35,99.57,99.69,99.86,99.87,100.00,100.06,100.15,100.13,100.22,100.62,100.53,100.69,100.98,101.07,101.18,101.21,101.24,101.28,101.41,101.61,101.80,101.84,102.01,102.08,102.06,102.15,102.30,102.43,102.44,102.58,102.44,102.59,102.90,102.97,103.01,103.03,103.10,103.17,103.41,103.40,103.52,103.56,103.46,103.65,103.84,103.91,104.01,103.93,103.94,104.08,104.32,104.11,104.32,104.38,104.32,104.57,104.63,104.63,104.60,104.60,104.68,104.78,104.98,104.90,105.00,105.06,105.07,105.18,105.32,105.36,105.40,105.28,105.45,105.46,105.57,105.45,105.59,105.58,105.94,105.68,105.63,105.74,105.74,105.76,105.84,106.06,105.98,106.06,105.78,106.16,106.16,105.98,106.31,106.15,106.15,106.16,106.15,106.24,106.21,106.26,106.36,106.28,106.27,106.26,106.27,106.25,106.46,106.48,106.39,106.36,106.46,106.45,106.50,106.41,106.43,106.47,106.75,106.22,106.44,106.56,106.40,106.35,106.27,106.25,106.21,106.49,106.46,106.55,106.48,106.36,106.48,106.37,106.40,106.45,106.47,106.19,106.32,106.33,106.33,106.34,106.33,106.39,106.32,106.35,106.40,106.12,106.21,106.11,106.00,106.11,105.96,106.01,106.13,106.06,105.96,105.87,105.94,105.91,105.91,105.74,105.71,105.64,105.77,105.67,105.63,105.67,105.63,105.67,105.59,105.38,105.58,105.37,105.57,105.38,105.28,105.27,105.29,105.32,105.07,105.06,105.09,104.91,104.63,104.84,104.84,104.78,104.75,104.71,104.71,104.41,104.46,104.36,104.37,104.26,104.11,104.27,104.00,103.96,103.87,103.58,103.88,103.78,103.57,103.57,103.56,103.52,103.32,103.33,103.28,103.27,102.89,102.75,102.93,102.90,102.61,102.53,102.53,102.52,102.42,102.20,102.21,101.97,101.92,101.89,101.60,101.67,101.34,101.34,101.18,101.14,101.10,100.84,100.89,100.81,100.87,100.46,100.43,100.41,100.24,100.20,100.01,99.79,99.85,99.81,99.51,99.37,99.36,99.31,98.98,99.01,98.62,98.64,98.54,98.35,98.24,98.05,97.91,97.62,97.52,97.51,97.49,97.10,97.00,96.75,96.68,96.88,96.59,96.20,95.95,96.00,95.67,95.66,95.69,95.29,95.27,95.23,94.91,94.55,94.36,94.50,94.17,93.97,93.91,93.88,93.52,93.52,93.20
95.06,95.45,95.54,95.63,95.81,96.06,96.19,96.26,96.37,96.43,96.70,96.75,96.96,97.19,97.24,97.46,97.65,97.87,97.88,98.09,98.17,98.39,98.40,98.70,98.73,98.89,98.90,98.90,99.30,99.37,99.38,99.73,99.79,99.87,100.14,100.12,100.16,100.21,100.60,100.66,100.60,100.68,100.90,101.07,101.28,101.22,101.25,101.54,101.69,101.68,101.77,101.80,102.05,102.12,102.11,102.16,102.37,102.55,102.61,102.84,102.72,102.87,103.07,103.09,103.15,103.22,103.27,103.19,103.41,103.56,103.59,103.70,103.57,103.78,104.00,104.12,103.98,104.23,104.21,104.39,104.26,104.48,104.36,104.57,104.50,104.57,104.84,104.83,104.88,104.81,104.85,105.01,104.97,105.17,104.97,105.26,105.22,105.34,105.37,105.54,105.53,105.56,105.59,105.59,105.59,105.81,105.69,105.75,105.80,105.95,105.93,106.10,106.02,106.19,106.11,106.14,106.15,106.10,106.10,106.25,106.14,106.26,106.45,106.60,106.33,106.40,106.33,106.30,106.53,106.51,106.51,106.76,106.47,106.43,106.41,106.54,106.69,106.57,106.69,106.61,106.58,106.56,106.79,106.79,106.71,106.68,106.71,106.62,106.79,106.80,106.73,106.74,106.72,106.69,106.67,106.63,106.55,106.67,106.77,106.63,106.64,106.58,106.60,106.62,106.47,106.57,106.84,106.57,106.49,106.45,106.59,106.45,106.70,106.59,106.58,106.43,106.43,106.43,106.45,106.64,106.36,106.35,106.49,106.41,106.29,106.36,106.21,106.28,106.15,106.11,106.28,106.07,106.11,106.11,106.03,106.09,106.09,106.10,105.81,105.76,105.68,105.71,105.75,105.63,105.60,105.62,105.68,105.63,105.71,105.48,105.38,105.59,105.43,105.22,105.15,105.18,105.19,104.96,104.94,105.06,104.93,104.74,104.87,104.85,104.82,104.64,104.58,104.54,104.34,104.27,104.16,104.31,104.27,104.05,103.90,103.90,103.94,103.80,103.74,103.55,103.43,103.52,103.34,103.32,103.34,103.28,103.25,103.15,102.90,102.92,102.65,102.55,102.50,102.46,102.16,102.25,102.22,102.15,101.87,101.86,101.82,101.72,101.46,101.46,101.23,101.20,101.15,100.85,100.88,100.88,100.82,100.75,100.53,100.47,100.12,99.86,100.16,99.93,99.54,99.60,99.63,99.36,99.31,99.06,99.10,98.63,98.65,98.60,98.23,98.21,98.20,97.97,97.87,97.83,97.50,97.51,97.16,97.22,96.93,96.91,96.69,96.45,96.44,96.08,96.05,95.92,95.69,95.60,95.42,95.39,95.14,94.96,94.83,94.67,94.40,94.41,94.31,94.26,93.81,93.79
95.46,95.80,95.96,96.05,96.19,96.33,96.60,96.54,96.84,96.86,96.90,97.31,97.49,97.48,97.74,97.92,97.98,98.03,98.04,98.38,98.68,98.70,99.08,99.00,99.08,99.19,99.34,99.74,99.72,99.78,99.87,100.20,100.11,100.27,100.50,100.47,100.58,100.71,101.01,100.95,101.15,101.26,101.26,101.32,101.30,101.41,101.73,101.76,101.76,102.11,102.19,102.20,102.36,102.51,102.55,102.58,102.62,102.87,102.83,103.28,103.29,103.28,103.27,103.34,103.56,103.62,103.64,103.65,103.67,103.66,104.06,104.15,104.17,104.22,104.20,104.27,104.37,104.44,104.51,104.45,104.65,104.82,104.87,104.89,104.87,105.05,105.18,105.07,105.25,105.24,105.50,105.54,105.50,105.53,105.51,105.83,105.75,105.69,105.82,105.57,105.74,105.98,106.04,106.06,106.19,106.06,106.21,106.13,106.21,106.27,106.18,106.22,106.32,106.34,106.33,106.41,106.44,106.42,106.49,106.61,106.57,106.45,106.69,106.58,106.83,106.80,106.79,106.82,106.85,106.88,106.80,106.81,106.83,106.90,106.94,107.06,107.05,106.78,106.74,106.99,107.00,107.07,107.03,107.03,107.02,107.02,107.09,106.87,107.07,107.26,107.06,107.22,106.98,107.23,106.99,107.02,107.05,106.94,107.02,107.02,106.90,106.81,107.03,106.97,106.89,106.95,106.98,107.05,106.87,106.99,106.92,106.98,106.96,107.14,106.92,106.93,106.93,106.91,106.84,106.73,106.74,106.75,106.79,106.71,106.69,106.67,106.56,106.58,106.55,106.70,106.61,106.62,106.54,106.52,106.56,106.34,106.34,106.11,106.36,106.13,106.15,106.13,106.12,106.10,105.87,106.15,105.98,105.98,105.85,105.84,105.86,105.81,105.75,105.76,105.68,105.71,105.35,105.40,105.31,105.48,105.34,105.36,105.31,105.30,105.12,105.15,105.06,104.83,104.87,104.77,104.81,104.63,104.52,104.39,104.37,104.31,104.34,104.29,104.22,103.95,104.02,103.89,103.89,103.76,103.80,103.51,103.49,103.35,103.66,103.22,103.21,103.20,103.16,103.00,102.70,102.73,102.69,102.39,102.32,102.40,102.32,102.05,101.95,101.86,101.88,101.76,101.62,101.48,101.44,101.15,101.16,101.14,100.93,100.93,100.56,100.53,100.54,100.25,100.17,100.05,100.05,99.81,99.62,99.71,99.34,99.22,99.17,99.07,98.78,98.72,98.60,98.59,98.31,98.30,98.23,97.83,97.95,97.59,97.41,97.37,97.31,97.24,96.96,96.75,96.56,96.41,96.33,96.23,95.92,95.60,95.52,95.58,95.19,95.18,94.88,94.84,94.80,94.41,94.31,94.08
96.34,96.38,96.46,96.43,96.84,96.91,96.88,97.22,97.27,97.50,97.47,97.94,98.01,98.07,98.17,98.32,98.40,98.50,98.64,99.02,99.13,99.12,99.13,99.43,99.65,99.74,99.98,99.94,100.04,100.20,100.35,100.47,100.55,100.78,100.77,101.04,100.96,101.02,101.46,101.50,101.48,101.51,101.61,101.91,101.93,101.97,102.01,102.36,102.39,102.41,102.42,102.63,102.81,102.89,102.97,102.98,103.27,103.31,103.40,103.44,103.60,103.56,103.65,103.60,103.97,104.01,104.09,104.03,104.10,104.31,104.26,104.29,104.37,104.54,104.78,104.56,104.86,104.84,105.02,104.97,104.87,105.16,105.20,105.17,105.44,105.44,105.40,105.55,105.70,105.68,105.80,105.80,105.80,105.92,105.88,105.95,105.97,106.01,106.07,106.21,106.25,106.32,106.25,106.48,106.31,106.51,106.52,106.46,106.52,106.57,106.58,106.54,106.62,106.80,106.79,106.99,106.83,106.86,106.88,106.90,106.96,106.95,107.09,107.03,107.18,107.02,106.92,107.32,106.98,107.21,107.20,107.30,107.21,107.15,107.34,107.19,107.12,107.10,107.19,107.19,107.32,107.37,107.35,107.48,107.40,107.45,107.51,107.21,107.24,107.37,107.34,107.34,107.55,107.45,107.52,107.36,107.36,107.16,107.11,107.36,107.36,107.35,107.34,107.30,107.27,107.29,107.49,107.26,107.22,107.19,107.45,107.43,107.40,107.44,107.21,107.16,107.14,107.05,107.22,107.08,107.10,106.96,107.09,106.87,106.92,107.13,106.96,106.96,106.94,106.91,106.85,106.78,106.70,106.71,106.63,106.62,106.55,106.56,106.56,106.41,106.56,106.48,106.50,106.45,106.42,106.37,106.37,106.36,106.36,106.36,106.26,106.28,106.12,106.17,105.89,105.89,105.88,105.83,105.80,105.80,105.75,105.70,105.40,105.48,105.45,105.51,105.18,105.24,105.18,105.10,105.11,104.88,104.88,104.76,104.68,104.60,104.52,104.37,104.67,104.35,104.35,104.25,104.27,104.05,104.03,103.81,104.00,103.79,103.70,103.65,103.55,103.64,103.54,103.34,103.16,103.08,103.03,102.91,102.73,102.71,102.51,102.53,102.30,102.35,102.10,102.07,101.95,101.94,101.88,101.54,101.68,101.55,101.40,101.01,101.04,101.03,100.69,100.82,100.53,100.54,100.52,100.29,100.05,100.13,99.79,99.74,99.88,99.52,99.46,99.14,98.97,99.06,98.64,98.67,98.68,98.29,98.32,98.01,97.96,97.93,97.38,97.30,97.26,97.16,97.03,97.00,96.52,96.53,96.43,96.29,96.10,96.01,95.69,95.81,95.45,95.22,95.29,94.89,94.88,94.67
96.65,96.63,96.89,97.00,96.97,97.30,97.27,97.67,97.68,97.95,97.95,98.34,98.27,98.41,98.86,98.92,98.92,98.92,99.31,99.29,99.39,99.51,99.70,99.86,100.01,100.06,100.13,100.50,100.48,100.53,100.87,100.92,100.93,101.26,101.41,101.27,101.42,101.45,101.61,101.70,102.12,102.18,102.17,102.02,102.20,102.42,102.41,102.61,102.66,102.58,102.98,103.05,103.25,103.24,103.46,103.32,103.46,103.62,103.68,103.68,103.79,103.87,103.90,104.11,104.28,104.60,104.28,104.32,104.49,104.67,104.64,105.00,105.02,104.98,104.94,105.15,105.23,105.27,105.22,105.29,105.51,105.49,105.49,105.47,105.59,105.69,105.72,105.75,105.82,105.82,106.11,106.08,106.12,106.13,105.98,106.28,106.40,106.37,106.50,106.55,106.54,106.58,106.68,106.72,106.69,106.99,106.73,106.94,106.97,106.96,107.10,106.99,107.15,107.05,107.00,106.90,107.15,107.13,107.28,107.22,107.26,107.19,107.18,107.39,107.45,107.47,107.46,107.46,107.47,107.52,107.70,107.58,107.55,107.58,107.61,107.57,107.53,107.73,107.56,107.62,107.45,107.64,107.59,107.80,107.53,107.72,107.61,107.77,107.89,107.66,107.96,107.70,107.66,107.60,107.67,107.66,107.69,107.82,107.83,107.85,107.80,107.65,107.71,107.62,107.62,107.62,107.71,107.80,107.60,107.55,107.66,107.78,107.55,107.58,107.57,107.57,107.38,107.53,107.57,107.61,107.56,107.45,107.47,107.42,107.62,107.41,107.44,107.35,107.19,107.26,107.34,107.35,107.17,107.17,106.95,106.91,106.95,106.91,106.93,106.89,106.83,106.97,106.85,106.78,106.58,106.92,106.64,106.61,106.54,106.62,106.51,106.52,106.46,106.36,106.34,106.37,106.24,106.20,106.15,106.21,106.14,105.96,105.84,105.84,105.68,105.89,105.57,105.83,105.52,105.46,105.48,105.36,105.22,105.24,105.23,105.26,104.86,105.14,104.79,104.71,104.80,104.61,104.60,104.41,104.42,104.27,104.22,104.26,104.17,104.07,103.96,103.90,103.94,103.60,103.83,103.67,103.37,103.29,103.27,103.07,102.74,102.98,102.97,102.86,102.77,102.55,102.47,102.52,102.33,102.08,102.25,101.98,101.69,101.75,101.65,101.65,101.42,101.11,101.08,101.01,100.98,100.74,100.77,100.53,100.17,100.22,100.11,100.02,99.98,99.86,99.40,99.43,99.27,99.07,98.86,98.80,98.74,98.71,98.38,98.39,98.03,97.95,97.86,97.84,97.62,97.61,97.17,97.36,96.95,96.94,96.59,96.47,96.17,96.29,96.07,95.89,95.69,95.64,95.61,95.07
97.15,97.20,97.44,97.50,97.64,97.95,97.93,97.96,97.95,98.42,98.72,99.02,98.94,99.17,99.27,99.35,99.36,99.53,99.74,99.74,99.98,99.92,100.15,100.40,100.58,100.57,100.57,100.69,100.97,100.95,101.37,101.48,101.47,101.45,101.53,101.76,102.13,102.12,102.19,102.17,102.49,102.37,102.65,102.74,102.90,102.93,102.98,103.06,103.17,103.09,103.57,103.60,103.56,103.66,103.68,103.63,104.10,104.04,104.09,104.13,104.22,104.43,104.47,104.63,104.72,104.76,104.72,104.86,105.05,104.81,105.05,105.09,105.39,105.17,105.39,105.45,105.65,105.68,105.72,105.79,105.69,105.95,105.97,106.01,106.08,106.26,106.34,106.35,106.31,106.39,106.52,106.45,106.63,106.73,106.68,106.70,106.72,106.65,106.85,106.84,107.04,106.98,106.92,107.02,107.13,107.04,107.21,107.23,107.20,107.24,107.21,107.24,107.22,107.32,107.32,107.34,107.52,107.55,107.64,107.70,107.75,107.79,107.76,107.73,107.68,107.73,107.84,107.80,107.84,107.82,107.83,107.93,107.94,107.94,107.84,108.08,108.01,107.85,107.93,107.92,107.90,107.96,107.89,108.25,108.03,108.01,108.04,108.02,107.92,108.01,107.81,108.10,108.01,108.09,108.15,108.15,108.06,108.08,107.87,108.00,107.92,107.81,108.04,108.06,107.95,108.03,107.88,107.96,107.84,107.98,108.13,108.05,108.01,107.89,107.89,107.96,107.92,107.96,107.90,107.90,107.96,107.64,107.80,107.81,107.88,107.55,107.56,107.58,107.58,107.58,107.54,107.58,107.50,107.51,107.44,107.27,107.30,107.29,107.28,107.26,107.03,107.11,107.05,107.12,107.09,106.95,106.95,106.96,106.98,106.95,106.96,106.84,106.80,106.83,106.80,106.60,106.71,106.61,106.60,106.60,106.59,106.40,106.23,106.22,106.21,106.20,106.09,106.11,105.90,105.83,105.89,105.77,105.76,105.75,105.71,105.68,105.64,105.29,105.25,105.24,105.23,105.16,105.05,104.97,105.09,104.78,104.70,104.53,104.72,104.26,104.37,104.38,104.20,104.21,103.91,103.85,103.81,103.74,103.72,103.75,103.32,103.32,103.09,102.97,102.97,102.86,102.83,102.83,102.63,102.60,102.50,102.23,102.21,102.14,101.98,101.83,101.66,101.62,101.42,101.36,101.37,101.06,101.12,100.74,100.75,100.74,100.63,100.21,100.18,100.11,99.89,99.88,99.84,99.52,99.41,99.36,99.12,99.07,98.92,98.92,98.58,98.58,98.38,98.32,97.88,97.89,97.65,97.61,97.43,97.48,97.01,97.01,96.81,96.63,96.55,96.32,95.98,95.92,95.89,95.68
97.49,97.51,97.75,97.79,98.01,98.38,98.39,98.43,98.42,98.79,98.95,99.21,99.38,99.46,99.52,99.71,99.72,100.03,99.96,100.17,100.40,100.51,100.60,100.69,100.84,101.02,101.08,101.43,101.43,101.35,101.45,101.74,101.97,102.02,102.01,102.22,102.24,102.34,102.62,102.60,102.64,102.68,102.91,102.88,103.16,103.30,103.40,103.44,103.36,103.66,103.62,103.78,103.81,103.96,104.15,104.23,104.34,104.25,104.50,104.68,104.96,104.67,104.69,104.94,104.82,105.14,104.84,105.26,105.22,105.34,105.44,105.49,105.43,105.51,105.75,105.84,105.90,105.74,105.92,105.98,105.95,105.95,106.29,106.31,106.32,106.33,106.36,106.63,106.67,106.65,106.80,106.89,106.82,106.83,106.91,106.98,107.19,107.16,107.21,107.16,107.17,107.17,107.39,107.48,107.51,107.20,107.53,107.68,107.52,107.58,107.71,107.74,107.70,107.67,107.80,107.79,107.70,107.85,107.76,107.90,107.78,108.03,108.04,108.03,107.93,107.97,108.02,108.28,107.96,108.25,108.13,108.16,108.22,108.05,108.22,108.25,108.31,108.24,108.24,108.44,108.37,108.57,108.44,108.40,108.39,108.40,108.39,108.37,108.38,108.40,108.35,108.44,108.30,108.30,108.31,108.33,108.37,108.35,108.36,108.46,108.36,108.37,108.32,108.37,108.42,108.30,108.23,108.25,108.29,108.19,108.34,108.31,108.33,108.26,108.31,108.33,108.30,108.29,108.08,108.10,108.05,108.22,107.95,108.06,107.89,107.86,108.01,107.96,108.12,107.98,108.09,107.85,107.77,107.80,107.69,107.63,107.60,107.68,107.63,107.63,107.54,107.60,107.48,107.49,107.67,107.49,107.61,107.29,107.41,107.37,107.36,107.39,107.18,107.23,107.12,107.10,106.79,106.93,106.88,107.02,106.82,106.79,106.57,106.57,106.73,106.64,106.56,106.15,106.14,106.18,106.09,106.12,106.08,106.05,105.90,105.67,105.70,105.73,105.64,105.55,105.51,105.25,105.38,105.16,105.13,105.07,105.06,104.74,105.02,104.72,104.76,104.52,104.55,104.49,104.58,104.38,104.12,104.18,104.16,103.87,103.68,103.77,103.84,103.53,103.41,103.41,103.20,103.16,103.13,102.82,102.90,102.69,102.70,102.48,102.20,102.43,102.10,102.04,102.07,101.74,101.75,101.52,101.25,101.23,101.11,101.10,101.03,100.74,100.63,100.66,100.63,100.23,100.18,100.05,99.97,99.88,99.59,99.55,99.45,99.19,99.07,99.04,98.93,98.56,98.48,98.48,98.13,98.08,98.05,97.73,97.48,97.43,97.40,97.17,96.82,96.84,96.62,96.59,96.45,96.02
